t,true_px,true_py,meas_px,meas_py,est_px,est_py
0,-0.0101905,43.2635,-0.120329,43.2684,-0.119256,42.8825
0.01,0.0198095,43.2628,-0.574986,42.8387,-0.347501,42.8608
0.02,0.0498095,43.2612,-0.126127,43.0619,-0.272496,42.9294
0.03,0.0798095,43.2586,-0.288508,43.2459,-0.27669,43.0126
0.04,0.109809,43.255,0.607257,42.8289,-0.084926,42.9737
0.05,0.139809,43.2505,-0.0589298,43.413,-0.0784497,43.0575
0.06,0.16981,43.2449,0.211434,42.9167,-0.0270697,43.0349
0.07,0.19981,43.2384,-0.349189,43.332,-0.0761219,43.0837
0.08,0.22981,43.2309,0.196709,43.1635,-0.0331557,43.098
0.09,0.25981,43.2224,0.677008,43.2586,0.0737756,43.1241
0.1,0.28981,43.2129,-0.14445,43.2719,0.0474471,43.1485
0.11,0.319809,43.2025,0.19162,43.4256,0.0721656,43.1916
0.12,0.349809,43.1911,0.109499,42.9265,0.0822575,43.159
0.13,0.379809,43.1787,0.728177,43.0814,0.178265,43.1517
0.14,0.409809,43.1653,0.515303,43.4429,0.233725,43.1959
0.15,0.439809,43.1509,0.398484,43.3436,0.266505,43.2214
0.16,0.469809,43.1355,0.456682,43.3071,0.303661,43.2388
0.17,0.499809,43.1192,0.551845,43.4982,0.349944,43.2812
0.18,0.529809,43.1019,0.475341,43.3798,0.380032,43.3022
0.19,0.559809,43.0836,0.59247,42.6759,0.423022,43.2208
0.2,0.58981,43.0643,0.872939,43.6983,0.500661,43.2928
0.21,0.61981,43.0441,0.5608,43.266,0.525134,43.2956
0.22,0.64981,43.0228,0.668428,43.0215,0.56157,43.2632
0.23,0.67981,43.0006,0.843923,42.9856,0.618214,43.2291
0.24,0.70981,42.9774,0.768482,42.9622,0.657382,43.1952
0.25,0.739811,42.9532,1.1501,43.062,0.74523,43.179
0.26,0.769811,42.9281,0.843362,42.9188,0.779712,43.1445
0.27,0.799811,42.9019,1.24021,42.9693,0.865083,43.1207
0.28,0.829811,42.8748,1.09176,42.8581,0.919603,43.0842
0.29,0.859811,42.8467,0.782208,42.5009,0.924424,43.0022
0.3,0.889812,42.8176,1.04621,42.9732,0.964413,42.9946
0.31,0.919812,42.7876,0.757887,43.1399,0.959615,43.0108
0.32,0.949812,42.7565,0.735215,42.6157,0.951556,42.9536
0.33,0.979812,42.7245,0.966615,42.689,0.975282,42.9129
0.34,1.00981,42.6915,1.79376,42.8529,1.10804,42.8991
0.35,1.03981,42.6575,0.857829,42.356,1.09892,42.8198
0.36,1.06981,42.6225,1.24962,43.0417,1.14289,42.8417
0.37,1.09981,42.5866,1.19031,42.6139,1.17339,42.8041
0.38,1.12981,42.5496,1.19731,42.7171,1.20082,42.7846
0.39,1.15981,42.5117,0.981471,42.8792,1.19583,42.789
0.4,1.18981,42.4728,1.27925,42.8818,1.23027,42.7936
0.41,1.21981,42.4329,0.95165,42.5352,1.21699,42.7519
0.42,1.24981,42.3921,1.24604,43.017,1.24335,42.7786
0.43,1.27981,42.3502,1.42043,42.6543,1.28917,42.7549
0.44,1.30981,42.3074,1.6652,42.385,1.36153,42.6986
0.45,1.33981,42.2636,1.55784,42.2466,1.41143,42.6306
0.46,1.36981,42.2188,0.944192,42.5373,1.37532,42.608
0.47,1.39982,42.1731,1.15447,42.0292,1.36981,42.5221
0.48,1.42982,42.1263,1.85883,42.3362,1.45565,42.4854
0.49,1.45982,42.0786,1.67332,41.8861,1.50772,42.3948
0.5,1.48982,42.0299,1.44058,41.8017,1.52355,42.3033
0.51,1.51982,41.9802,1.67238,42.0166,1.56695,42.2496
0.52,1.54982,41.9295,1.75548,41.8615,1.6158,42.1821
0.53,1.57982,41.8779,1.33759,42.107,1.60518,42.1537
0.54,1.60982,41.8252,1.99234,41.6552,1.67896,42.071
0.55,1.63982,41.7716,2.34477,41.6912,1.78942,42.002
0.56,1.66982,41.717,1.33496,41.627,1.75855,41.9327
0.57,1.69982,41.6614,1.31235,42.0688,1.72737,41.9276
0.58,1.72982,41.6049,1.40671,41.4608,1.71084,41.8461
0.59,1.75982,41.5474,1.809,41.7334,1.74663,41.8085
0.6,1.78982,41.4888,1.67859,41.7992,1.76149,41.7837
0.61,1.81982,41.4293,1.76439,41.6492,1.7851,41.7432
0.62,1.84982,41.3689,2.37774,40.6916,1.88342,41.586
0.63,1.87982,41.3074,1.62079,41.3303,1.87497,41.5268
0.64,1.90982,41.245,2.17143,41.5102,1.93647,41.4972
0.65,1.93982,41.1815,1.69585,41.6684,1.93081,41.4914
0.66,1.96982,41.1171,1.95492,41.414,1.95785,41.4548
